gene_name	log2FoldChange	pvalue	padj	wormbase_gene	chr	start	end	strand	biotype	HK2	HK4	HK5	HK6
aat-1	-0.0242441087986775	0.966916538983578	0.981330573097727	WBGene00000002	IV	9598986	9601695	-1	protein_coding	253.60933722232	125.371348828379	198.364153618347	186.394042594519
aat-2	-0.00781086668589408	0.989240451759687	0.994219261488928	WBGene00000003	V	9244402	9246360	-1	protein_coding	113.164325772509	161.880587772907	127.696923891811	149.115234075615
aat-3	-1.03751365213818	0.0167995778520702	0.0632987115141194	WBGene00000004	X	2552436	2557726	1	protein_coding	201.068757399369	218.366580102177	396.728307236694	464.387443264058
aat-4	4.15635194570755	1.67134871837907e-05	0.0002223413770601	WBGene00000005	IV	6272529	6275713	-1	protein_coding	130.341053791551	73.0184778890561	4.95910384045868	6.39065288895492
aat-5	-0.14011328801915	0.776060796575352	0.866690984370324	WBGene00000006	I	2571782	2576020	-1	protein_coding	220.266276950063	358.20385379537	287.628022746603	350.420800077695
aat-6	2.78731940214089	1.12359445391545e-06	2.0081062415004e-05	WBGene00000007	V	11466844	11470663	-1	protein_coding	404.158306330391	288.629643731269	37.1932788034401	62.8414200747234
aat-7	-0.314967635399334	0.837160176469538	0.905820130636151	WBGene00000008	II	1386888	1391567	1	protein_coding	8.08316612660781	19.9767533847418	6.19887980057335	28.7579380002971
aat-8	-1.57176889732897	0.26683646623142	0.437784976279263	WBGene00000009	IV	3862129	3865042	-1	protein_coding	2.02079153165195	22.0433140797151	37.1932788034401	35.1485908892521
aat-9	0.608829656621625	0.235806237258497	0.401761856421979	WBGene00000010	I	11388689	11396660	-1	protein_coding	212.183110823455	201.1452409774	131.416251772155	139.529254742182
abce-1	1.15422754941135	0.0013217859734379	0.00886680810330419	WBGene00012714	III	13153817	13160284	1	protein_coding	1669.17380514451	1410.77210110176	626.086859857908	757.292367341158
abcf-1	1.04483885915051	0.0148902745516711	0.0576430028298785	WBGene00006512	V	12761044	12763375	-1	protein_coding	1289.26499719395	779.78223556992	461.196657162657	541.075277931517
abcf-2	0.686893413369101	0.029825565265405	0.0959315301444341	WBGene00012097	III	13457687	13462238	-1	protein_coding	5419.76288789054	4761.35584121845	3301.52338178536	3022.77881647568
abcf-3	1.26871943726304	0.00348733920524538	0.019200347630337	WBGene00018339	III	6173305	6176171	1	protein_coding	1637.85153640391	1195.84978882454	736.426920308114	439.889940523064
abch-1	0.486787618882462	0.680656502222975	0.803621427285345	WBGene00016973	II	6528933	6531610	-1	protein_coding	36.3742475697352	23.4210212096973	30.9943990028667	11.716196963084
abcx-1	-0.55867815471789	0.616903006009058	0.757078342593814	WBGene00006522	II	6532163	6535455	1	protein_coding	17.1767280190416	24.7987283396794	23.5557432421787	38.3439173337295
abf-1	1.73348917253423	0.724260233369635	NA	WBGene00000012	I	3886111	3887080	-1	protein_coding	0	1.37770712998219	0	0
abf-2	0.590637543459306	0.403739959794585	0.578660432703099	WBGene00000013	I	3885548	3885905	-1	protein_coding	89.9252231585119	83.3512813639226	60.7490220456188	54.3205495561168
abf-3	NA	NA	NA	WBGene00000014	V	15817410	15817846	-1	protein_coding	0	0	0	0
abf-4	NA	NA	NA	WBGene00000015	V	20557945	20558379	-1	protein_coding	0	0	0	0
abf-5	1.8183872365615	0.0600607769025101	0.158586730261638	WBGene00000016	X	12792727	12793386	1	protein_coding	100.029180816772	129.504470218326	55.7899182051601	9.58597933343238
abf-6	1.27936090022617	0.304385228457437	0.479266631151395	WBGene00000017	X	12794118	12794870	1	protein_coding	63.6549332470365	81.9735742339404	57.0296941652748	3.19532644447746
abhd-11.1	NA	NA	NA	WBGene00009316	I	11515127	11517108	1	protein_coding	0	0	0	0
abhd-11.2	1.32855355607324	0.0259000557824088	0.0869298575554004	WBGene00011029	I	12181046	12183297	-1	protein_coding	237.443004969104	152.925491428023	81.8252133675682	73.4925082229816
abhd-12	-1.61661413608944	1.17968989656605e-05	0.000162881025388315	WBGene00022393	V	7983849	7985954	1	protein_coding	440.532553900126	420.200674644568	1160.43029866733	1478.37103497824
abhd-14	0.739447936890617	0.192907842011585	0.352467191252031	WBGene00021927	IV	1027787	1030024	-1	protein_coding	170.75688442459	234.899065661964	99.1820768091736	143.789690001486
abhd-3.1	0.435869098684387	0.276921619220557	0.44983077583258	WBGene00013358	V	19955453	19958912	1	protein_coding	602.195876432282	626.856744141897	516.986575367817	391.960043855902
abhd-3.2	2.76813072426207	0.00650144690742811	0.0309283707617829	WBGene00016644	X	975525	978445	-1	protein_coding	253.60933722232	296.895886511162	76.8661095271095	4.26043525930328
abhd-5.1	-0.188142227065086	0.79177748344044	0.876249434893651	WBGene00016506	V	4847653	4849838	1	protein_coding	104.070763880076	57.1748458942609	99.1820768091736	84.1435963712398
abhd-5.2	0.323374952688132	0.560291072473356	0.713401071178854	WBGene00016507	V	4844685	4846984	1	protein_coding	470.844426874905	208.722630192302	266.551831424654	275.863183039887
abi-1	0.433700095343797	0.355502372758685	0.531801607485459	WBGene00015146	III	5690107	5692740	-1	protein_coding	299.077146684489	250.053844091768	208.282361299264	198.110239557603
abl-1	-0.685615313603931	0.0945769667146476	0.218364530060385	WBGene00000018	X	10605832	10624185	-1	protein_coding	409.21028515952	509.751638093411	851.726084598778	627.349091932408
abt-1	3.11938009614831	0.12125349158996	0.257036792512089	WBGene00000019	IV	10206189	10214911	-1	protein_coding	27.2806856773014	15.1547784298041	4.95910384045868	0
abt-2	0.482282122798327	0.517354450209499	0.67847237134905	WBGene00000020	I	2255923	2272866	-1	protein_coding	253.60933722232	755.672360795232	575.256045493207	148.050125260789
abt-4	1.79281826395034	0.0048150397685342	0.0246112995819272	WBGene00000022	V	323774	330725	-1	protein_coding	922.491334199117	2288.37154290042	700.473417464788	226.8681775579
abt-5	0.819302479049116	0.608668169659241	0.750603809090326	WBGene00000023	I	12011195	12018668	1	protein_coding	38.3950391013871	4.82197495493767	6.19887980057335	18.1068498520389
abt-6	NA	NA	NA	WBGene00018982	I	6139216	6140444	-1	protein_coding	0	0	0	0
abtm-1	1.18491669360394	0.0384224634527457	0.115560809492322	WBGene00022281	I	2472066	2485391	-1	protein_coding	245.526171095712	221.810847927133	130.17647581204	75.6227258526332
abts-1	-0.997026296023444	0.00617543470113648	0.0297332783058072	WBGene00009920	I	8296917	8307566	-1	protein_coding	1312.50409980794	1392.861908412	3192.42309729527	2207.97057313393
abts-2	1.13405461052066	0.193533340468202	0.353212018772882	WBGene00009929	X	11585675	11589757	1	protein_coding	59.6133501837326	62.6856744141897	24.7955192022934	30.8881556299488
abts-3	-1.57001735316108	5.79444892936963e-05	0.00064427728586141	WBGene00019018	II	6132895	6157176	1	protein_coding	301.097938216141	414.000992559649	1076.12553337953	1049.13218260343
abts-4	-0.231701257087031	0.62180977827172	0.760051213734132	WBGene00019844	X	6747296	6761738	-1	protein_coding	306.149917045271	329.960857630735	287.628022746603	459.061899189929
abu-1	4.63629534611447	0.0605812793164404	0.159623138424269	WBGene00000024	V	10380340	10381826	-1	protein_coding	302.108333981967	374.736339355156	27.2750711225227	0
abu-10	0.359735860310048	0.616378950604579	0.756747287416388	WBGene00000033	X	3798179	3799741	1	protein_coding	292.004376323707	112.97198465854	95.4627489288295	219.412415854119
abu-11	0.122282025907204	0.804708715300891	0.884883955414632	WBGene00000034	II	192531	194558	-1	protein_coding	516.312236337074	387.135703524996	291.347350626947	537.879951487039
abu-12	-1.66457185382863	0.000163993023316326	0.00157328178650778	WBGene00004127	X	450446	457648	-1	protein_coding	465.792448045775	265.208622521572	1255.89304759616	1058.71816193687
abu-13	-0.0338801685125758	0.934636374467897	0.963543981558624	WBGene00004133	III	6941889	6945895	-1	protein_coding	1280.17143530151	782.537649829885	971.984352729901	1138.6013230488
abu-14	0.58283580561528	0.137332768703018	0.279521585258991	WBGene00004174	II	9225186	9227261	-1	protein_coding	1966.23016029735	1384.5956656321	949.668385447837	1286.65144830959
abu-15	0.825556678348692	0.24458967065807	0.41208296579262	WBGene00004099	V	5158623	5159907	1	protein_coding	255.630128753972	94.3729384037801	83.0649893276829	113.966643186363
abu-2	-0.457735615856576	0.788536279021518	0.874359780087134	WBGene00000025	X	1408836	1410652	-1	protein_coding	26.2702899114754	8.95509634488424	1.23977596011467	46.8647878523361
abu-4	2.30514404987479	0.403793783785289	0.578669651810169	WBGene00000027	V	2274842	2275977	1	protein_coding	16.1663322532156	2.06656069497329	3.71932788034401	0
abu-5	4.40979147413442	0.358773531210665	NA	WBGene00000028	IV	15590697	15591772	1	protein_coding	0	8.95509634488424	0	0
abu-6	8.58886940478257	1.71802453873196e-06	2.92513711566126e-05	WBGene00000029	V	5160671	5161892	-1	protein_coding	105.081159645902	57.863699459252	0	0
abu-7	6.48863172302575	0.000545491536501212	0.00429223256323719	WBGene00000030	V	5163396	5164759	-1	protein_coding	70.7277036078184	33.7538246845637	1.23977596011467	0
abu-8	-1.1073517734319	0.0121824330105931	0.0495441012055806	WBGene00000031	V	5163269	5194608	-1	protein_coding	385.971182545523	281.741108081358	583.934477214009	853.152160675482
abu-9	-0.760227517282107	0.659008299735248	0.788217678757157	WBGene00000032	X	8322111	8323418	1	protein_coding	60.6237459495586	0	53.3103662849308	48.9950054819877
AC3.12	1.18544172690952	0.811372439071912	NA	WBGene00077503	V	10378982	10379364	-1	protein_coding	1.01039576582598	0	0	0
AC3.5	1.09807103214129	0.00663345301021427	0.0314364337399831	WBGene00007071	V	10388402	10393504	1	protein_coding	2377.46123698852	2567.35723672181	1461.6958569752	848.891725416179
AC7.3	6.22389504354741	0.0357974244719885	0.1094248886127	WBGene00014997	IV	5111839	5112917	1	protein_coding	30.3118729747793	1.37770712998219	0	0
AC8.10	0.0602169129019788	0.940755503837083	0.966560837702386	WBGene00043988	X	237496	239177	-1	protein_coding	46.4782052279949	61.3079672842075	54.5501422450455	48.9950054819877
AC8.11	0.665724289783902	0.662413581289069	0.790816979704229	WBGene00043989	X	236067	236810	-1	protein_coding	10.1039576582598	23.4210212096973	14.877311521376	6.39065288895492
AC8.12	-0.32841731239036	0.834768030692764	0.904709852078203	WBGene00043990	X	239849	240779	1	protein_coding	16.1663322532156	6.88853564991096	7.43865576068802	21.3021762965164
AC8.3	0.0602169129019788	0.940755503837083	0.966560837702386	WBGene00007075	X	228080	229761	-1	protein_coding	46.4782052279949	61.3079672842075	54.5501422450455	48.9950054819877
AC8.4	0.665724289783902	0.662413581289069	0.790816979704229	WBGene00007076	X	226651	227394	-1	protein_coding	10.1039576582598	23.4210212096973	14.877311521376	6.39065288895492
AC8.7	-0.32841731239036	0.834768030692764	0.904709852078203	WBGene00007079	X	230433	231363	1	protein_coding	16.1663322532156	6.88853564991096	7.43865576068802	21.3021762965164
acaa-2	0.127658111810388	0.68282718894489	0.804597410420379	WBGene00009952	III	13344917	13346866	1	protein_coding	2993.80265414237	3088.81938542007	2845.28582846317	2722.4181306948
acbp-1	-0.651067094505962	0.137064331166952	0.279127062218614	WBGene00016655	I	4635722	4637328	-1	protein_coding	858.83640095208	1409.39439397178	1391.02862724866	2171.75687342985
acbp-3	0.638910520660865	0.255272511407639	0.424112833673038	WBGene00009818	X	10903278	10905107	1	protein_coding	282.910814431273	277.607986691412	117.778716210894	241.779700965461
acbp-4	1.82475507726225	0.620312139059706	0.758959407551304	WBGene00018949	III	7308354	7308975	-1	protein_coding	13.1351449557377	0	3.71932788034401	0
acbp-5	1.2161470757755	0.0861416589699068	0.204849783473095	WBGene00011731	III	13639893	13641688	-1	protein_coding	155.6009479372	127.437909523353	38.4330547635548	83.078487556414
acbp-6	0.825259885129798	0.522569565116296	0.682798682689932	WBGene00012457	II	11972310	11973732	-1	protein_coding	34.3534560380832	15.8436319947952	11.157983641032	17.0417410372131
acbp-7	2.23536287448689	0.646663134882508	NA	WBGene00044603	III	4840187	4841024	1	protein_coding	2.02079153165195	0	0	0
acc-1	-3.49660894614317	0.00618053922132398	0.0297421061049308	WBGene00010275	IV	9658053	9663941	1	protein_coding	3.03118729747793	4.13312138994657	49.5910384045868	31.9532644447746
acc-2	-0.897964393259079	0.668888807086876	0.795827161695092	WBGene00008280	IV	9016788	9019101	1	protein_coding	2.02079153165195	11.7105106048486	24.7955192022934	1.06510881482582
acc-3	-2.29161823568246	0.0596381983761097	0.157832940211646	WBGene00018880	X	4722877	4727481	-1	protein_coding	48.4989967596469	2.06656069497329	86.7843172080269	158.701213409047
acc-4	-1.68013325029575	0.00447555419983332	0.023241201996775	WBGene00012099	III	13480665	13484155	-1	protein_coding	51.5301840571248	81.9735742339404	226.879000700985	202.370674816906
acd-1	0.605533180416541	0.563413048197512	0.715914389482422	WBGene00016064	I	4103713	4108045	1	protein_coding	36.3742475697352	115.038545353513	81.8252133675682	18.1068498520389
acd-2	1.31098158074068	0.0937972359633473	0.217234514612729	WBGene00016066	I	4094179	4098330	1	protein_coding	95.9875977534678	95.7506455337623	50.8308143647014	26.6277203706455
acd-3	0.822890987956409	0.373587866795429	0.548686556865592	WBGene00007775	X	14849275	14852619	1	protein_coding	37.3846433355611	85.4178420588959	40.9126066837841	28.7579380002971
acd-4	-1.3170356451782	0.518342291141061	0.679410643651877	WBGene00017879	V	8638237	8640585	1	protein_coding	3.03118729747793	6.19968208491986	21.0761913219494	2.13021762965164
acd-5	-0.538998398723685	0.392665275967973	0.568229406317606	WBGene00020903	I	3655413	3662183	-1	protein_coding	77.8004739686002	82.6624277989315	128.936699851926	104.38066385293
acdh-1	1.60615175501229	0.00190446964657643	0.0118809056818103	WBGene00016943	I	6497436	6499560	1	protein_coding	10456.585780533	3652.30160158279	2539.06116631484	2095.06903876239
acdh-10	-0.00844374791982163	0.98145949813905	0.99030256218778	WBGene00020366	X	17213144	17214929	-1	protein_coding	2388.57559041261	3565.50605239391	3046.12953400174	2943.96076417857
acdh-11	-0.200255369365544	0.58788041670005	0.73526815791911	WBGene00012860	III	10566181	10571606	1	protein_coding	773.963156622698	1025.70295827174	1058.76866993793	1009.72315645488
acdh-12	-0.559699687008481	0.140439926088512	0.283876814403116	WBGene00017125	II	7192436	7194815	-1	protein_coding	1704.53765694842	2192.62089736666	2324.57992521501	3420.06440440571
acdh-13	1.37009375645139	0.0038678611976858	0.0207701509453052	WBGene00001566	IV	8496486	8498871	-1	protein_coding	325.347436595964	321.694614850842	128.936699851926	121.422404890144
acdh-2	-0.59358880514049	0.346068321181198	0.52220795470839	WBGene00015894	II	5544781	5547490	-1	protein_coding	77.8004739686002	169.45797698781	198.364153618347	175.74295444626
acdh-3	0.933859201206375	0.00671311082099685	0.0317536082639187	WBGene00019433	I	6464197	6466941	-1	protein_coding	1333.72241089029	1330.17623399781	665.759690581578	728.534429340861
acdh-4	1.87844648449474	0.276827888646339	0.449740141281059	WBGene00020419	I	6546615	6548675	-1	protein_coding	47.4886009938209	29.6207032946171	21.0761913219494	0
acdh-5	5.40588984874888	0.0147352838452184	0.0572057738074031	WBGene00016491	I	6784854	6787139	1	protein_coding	37.3846433355611	12.3993641698397	1.23977596011467	0
acdh-6	-2.98053566325407	1.48471884514525e-10	5.80164549254408e-09	WBGene00015335	III	8561136	8563026	1	protein_coding	308.170708576923	181.168487592658	1443.09921757348	2412.47146558048
acdh-7	0.0939607617859281	0.777181383474713	0.867424609223846	WBGene00020812	X	17215018	17217105	-1	protein_coding	2105.66477598133	2508.11583013258	2277.46843873065	2046.0740332804
acdh-8	7.22944610509758	5.72938834172703e-05	0.000637991264302728	WBGene00019406	II	5794495	5796185	1	protein_coding	136.403428386507	37.8869460745103	1.23977596011467	0
acdh-9	1.35168737078824	0.000283194319930539	0.00245697750265533	WBGene00017874	II	846864	848603	-1	protein_coding	900.262627350945	1023.63639757677	393.00897935635	361.071888225953
acds-10	1.43671569612204	0.000895985967496312	0.00646250795901279	WBGene00019599	V	5747723	5752033	1	protein_coding	742.640887882093	1062.21219721627	389.289651476006	277.993400669539
ace-1	0.172646566414063	0.768063796298649	0.861553198576343	WBGene00000035	X	16367229	16373789	1	protein_coding	141.455407215637	188.057023242569	181.007290176742	111.836425556711
ace-2	-0.745373880721297	0.0759485816917744	0.187565424686319	WBGene00000036	I	3302001	3307587	-1	protein_coding	378.898412184741	367.847803705245	513.267247487473	738.120408674293
ace-3	-1.58712630641159	0.0400626528840343	0.119247745239152	WBGene00000037	II	14205633	14210214	1	protein_coding	29.3014772089533	75.7738921490205	110.340060450206	206.631110076209
ace-4	-0.635657814341085	0.675690325993119	0.800610158206201	WBGene00000038	II	14198046	14205325	1	protein_coding	4.04158306330391	19.2878998197507	17.3568634416054	19.1719586668648
acer-1	1.80717556545211	0.000609434019358481	0.00470386257540951	WBGene00016630	II	6888553	6890418	-1	protein_coding	9238.0484869469	7188.87580424708	3512.28529500486	1182.27078445666
acin-1	0.428979734980003	0.378591548121192	0.553915447177804	WBGene00016601	I	4270697	4273332	1	protein_coding	355.659309570744	304.473275726064	298.786006387635	191.719586668648
acl-1	2.36177333358753	0.000126185083796066	0.0012606715381121	WBGene00010339	X	15849885	15851771	1	protein_coding	468.823635343253	267.964036781536	96.7025248889442	46.8647878523361
acl-11	-0.673201578356432	0.364703264109331	0.540794610853326	WBGene00017888	I	4928654	4932147	1	protein_coding	60.6237459495586	124.682495263388	89.2638691282562	206.631110076209
acl-12	-0.0630581362006289	0.895409664689506	0.942119027119175	WBGene00015295	X	7439396	7442577	-1	protein_coding	631.497353641235	362.336975185316	428.962482199676	608.177133265543
acl-13	5.64602649151848	0.158362441467235	0.308079071753366	WBGene00008581	IV	12410467	12412219	1	protein_coding	21.2183110823455	0	0	0
acl-14	-0.68645096901979	0.106289569018842	0.235838352844476	WBGene00019465	V	9327145	9333062	-1	protein_coding	691.110703824968	422.956088904533	845.527204798205	945.816627565328
acl-2	0.418416490158755	0.365636142321017	0.541698212441262	WBGene00011543	V	10028150	10031094	-1	protein_coding	394.054348672131	299.651300771127	288.867798706718	230.063504002377
acl-3	1.1668284049239	0.0884234072011382	0.208663625381935	WBGene00006491	IV	11650715	11652033	-1	protein_coding	124.278679196595	105.394595443638	44.6319345641281	57.5158760005943
acl-4	-0.00404064097361204	0.991708646176675	0.995633702198975	WBGene00018657	X	2066554	2070441	-1	protein_coding	628.466166343757	515.951320178331	606.250444496073	541.075277931517
acl-5	-0.329346857620318	0.490107653514285	0.655333340934962	WBGene00011106	X	10324183	10327642	-1	protein_coding	547.634505077679	422.956088904533	793.456614473388	426.043525930328
acl-6	1.48507651985665	0.0181291192069744	0.067175141879569	WBGene00017261	V	5433392	5437066	1	protein_coding	441.542949665952	281.052254516367	185.9663940172	72.4273994081558
acl-7	3.82184240351339	2.76027311397397e-09	8.44790335863691e-08	WBGene00012911	II	12811802	12816462	-1	protein_coding	627.455770577931	906.531291528282	85.5445412479122	23.432393926168
acl-8	-0.00542801196938903	0.991657249705728	0.995633702198975	WBGene00020264	V	6450870	6452929	1	protein_coding	294.025167855359	195.634412457471	288.867798706718	202.370674816906
acl-9	-0.663686627192046	0.0942561534752032	0.217993755665259	WBGene00022646	V	6453196	6454973	1	protein_coding	521.364215166204	581.392408852485	726.508712627196	1020.37424460314
acly-1	-0.6917204024696	0.146777952689722	0.292307333838718	WBGene00016995	X	1479542	1484398	1	protein_coding	886.117086629381	1211.69342081934	2309.70261369363	1080.02033823338
acly-2	0.357498393269738	0.398608821728431	0.573723757067485	WBGene00007150	V	13116488	13120167	1	protein_coding	575.925586520807	544.883169907957	354.575924592795	519.773101635
acn-1	-1.02364665923006	0.00157427591459575	0.0102038169501256	WBGene00000039	X	5092458	5097067	-1	protein_coding	1816.69158695511	1884.70335381564	3440.37828931821	4084.69230485702
aco-1	2.47554135306022	0.000389173873336078	0.00323576454908208	WBGene00000040	X	11339874	11343568	1	protein_coding	3659.65346382169	3933.35385609916	1181.50648998928	184.263824964867
aco-2	0.218946903453149	0.501682734746771	0.664985484903411	WBGene00000041	III	7973717	7977355	1	protein_coding	10146.3942804245	10947.9497084035	10204.5959277038	7920.1491470448
acox-1.1	1.19633110523468	0.0074164151702896	0.0342046438947779	WBGene00008564	I	12938555	12942224	1	protein_coding	1283.20262259899	2544.62506907711	783.538406792471	887.235642749908
acox-1.2	4.98567482836545	0.0814379348287902	0.19734413920016	WBGene00008565	I	12942280	12946562	1	protein_coding	1256.93233268751	1530.63262141021	88.0240931681415	0
acox-1.3	4.32259661412825	0.0176353283657045	0.065646708124564	WBGene00008566	I	12946937	12950991	1	protein_coding	13.1351449557377	59.2414065892342	3.71932788034401	0
acox-1.4	-1.20736761406664	0.00482440604958368	0.0246288895816736	WBGene00008567	I	12951025	12954015	1	protein_coding	237.443004969104	354.070732405423	664.519914621463	702.971817785041
acox-1.5	1.72409698489164	0.0245496646927542	0.0835593090270093	WBGene00008167	III	9586617	9592192	-1	protein_coding	579.96716958411	841.779056419119	374.41233995463	56.4507671857685
acox-1.6	-0.585907396062748	0.189808872726615	0.34825053196353	WBGene00010336	X	15834052	15838546	-1	protein_coding	531.468172824464	972.661233767427	996.779871932194	1262.1539455686
acox-3	0.203649331535709	0.666871986983805	0.794428572570216	WBGene00019060	IV	6245341	6248492	-1	protein_coding	1331.70161935864	3099.15218889494	1877.02080361361	1971.51641624259
acp-1	0.630962802412843	0.446840908887663	0.617148490440455	WBGene00022770	X	3382868	3385547	-1	protein_coding	99.0187850509457	48.9086031143678	40.9126066837841	54.3205495561168
acp-2	1.82234169680666	0.0946771569238141	0.218475051181973	WBGene00008802	II	8429959	8432054	-1	protein_coding	53.5509755887768	37.1980925095192	16.1170874814907	9.58597933343238
acp-3	4.08266375823453	0.0790406803035295	0.193224897324832	WBGene00008801	II	8435347	8437135	-1	protein_coding	38.3950391013871	2.75541425996438	2.47955192022934	0
acp-4	NA	NA	NA	WBGene00008804	II	8432773	8435105	-1	protein_coding	0	0	0	0
acp-5	-0.450915480740965	0.363560248107792	0.539678900335372	WBGene00017427	X	5829376	5832027	1	protein_coding	152.569760639722	174.968805507738	215.721017059952	232.193721632029
acp-6	1.37755270361218	0.00037471373762638	0.00312769983118595	WBGene00022245	IV	6424600	6426139	-1	protein_coding	2442.12656600139	3701.21020469716	1326.5602773227	1038.48109445517
acp-7	0.0580512196576245	0.954033878497449	0.973814692783578	WBGene00022246	IV	6428305	6431707	-1	protein_coding	22.2287068481715	54.4194316342966	40.9126066837841	33.0183732596004
acr-10	1.73348917253423	0.724260233369635	NA	WBGene00000049	X	4022273	4025584	1	protein_coding	0	1.37770712998219	0	0
acr-11	1.7193343633354	0.531645011996533	0.691191165341405	WBGene00000050	I	6621687	6624894	-1	protein_coding	3.03118729747793	13.0882177348308	4.95910384045868	0
acr-12	-0.803922379441063	0.454578858731989	0.62466506287604	WBGene00000051	X	13532871	13536433	1	protein_coding	11.1143534240857	49.5974566793589	45.8717105242428	60.7112024450718
acr-14	-0.0525089357213117	0.964299231114651	0.980148213315802	WBGene00000053	II	8174845	8177195	-1	protein_coding	25.2598941456494	17.9101926897685	22.3159672820641	22.3672851113422
acr-15	-1.0313836452491	0.112557489001194	0.24485106927052	WBGene00000054	V	8552695	8555388	1	protein_coding	58.6029544179066	68.1965029341185	109.100284490091	150.180342890441
acr-16	-1.7040210177671	0.0130882411339521	0.0522037365326882	WBGene00000055	V	8561216	8564345	1	protein_coding	65.6757247786885	65.4410886741541	119.018492171008	307.816447484662
acr-17	-2.09354015916003	0.0495063187074294	0.138591763145415	WBGene00000056	V	2608656	2615247	1	protein_coding	18.1871237848676	13.0882177348308	28.5148470826374	104.38066385293
acr-18	-2.28437532942073	0.0497520140277124	0.139175447091354	WBGene00000057	V	15551155	15559147	-1	protein_coding	4.04158306330391	17.2213391247774	49.5910384045868	55.3856583709427
acr-19	-0.0826062072253359	0.94659453060298	0.969608272196111	WBGene00000058	I	9031274	9036695	-1	protein_coding	11.1143534240857	35.820385379537	29.7546230427521	20.2370674816906
acr-2	-1.27074183312907	0.305796870661847	0.480730668731639	WBGene00000042	X	6702463	6709142	1	protein_coding	4.04158306330391	39.2646532044925	52.0705903248161	53.255440741291
acr-20	-1.41464823904808	0.290525994828894	0.464481576606049	WBGene00000059	II	14373831	14377890	-1	protein_coding	2.02079153165195	42.7089210294479	74.3865576068802	45.7996790375103
